id,project_code,pq_number,po_so_number,asn_dn_number,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,planned_lead_time_days,actual_lead_time_days,is_on_time,freight_pct_of_value,freight_cost_per_kg
5101,325-CA-T71,PQ-94860,SO-69859,ASN-20011,Cameroon,South Africa Field Office,From RDC,CIP,Ocean,11/1/2014,11/14/2014,1/12/2015,1/4/2015,1/6/2015,ACT,Artemisinin-based,Bristol Myers Squibb,ACT product - Artemisinin-based formulation,Molecule 31,Branded,150mg,Tablet,60,5000,120486,698.8188,24.0972,"Mylan H-12, India",No,92.25,6488.06,896.25,59,51,t,5.38,70.33
206,325-KE-T39,PQ-65421,SO-82635,ASN-20313,Kenya,Haiti Field Office,Direct Drop,FCA,Air Charter,10/7/2014,10/14/2014,12/15/2014,12/19/2014,12/19/2014,MRDT,Malaria test,Sun Pharma,MRDT product - Malaria test formulation,Molecule 12,Branded,30mg,Test kit,30,500,12646.3,505.852,25.2926,"Hetero Unit III, India",Yes,6.54,973.17,,62,66,f,7.7,148.8
2863,325-RW-T45,PQ-56088,SO-20959,ASN-90526,Rwanda,Haiti Field Office,From RDC,DDP,Air,1/18/2014,2/2/2014,3/13/2014,3/22/2014,3/22/2014,ACT,Artemisinin-based,Novartis Pharma Ag,ACT product - Artemisinin-based formulation,Molecule 39,Generic,60mg,Capsule,10,25000,186525,141.759,7.461,"Novartis, Suffern, US",Yes,187.21,15611.85,558.26,39,48,f,8.37,83.39
4662,325-SO-T42,PQ-24778,SO-40420,ASN-15690,South Africa,South Africa Field Office,From RDC,FCA,Air,9/7/2015,9/19/2015,11/11/2015,11/12/2015,11/16/2015,ACT,Artemisinin-based,Mylan Inc,ACT product - Artemisinin-based formulation,Molecule 14,Generic,30mg,Tablet,60,50000,2070770,1159.6312,41.4154,"Mylan H-12, India",No,333.93,107283.6,2748.52,53,54,f,5.18,321.28
4451,325-SO-T67,PQ-77337,SO-51416,ASN-41222,South Africa,PMO - US,From RDC,DDP,Ocean,3/17/2015,4/1/2015,4/29/2015,4/17/2015,4/21/2015,ARV,Adult,Sun Pharma,ARV product - Adult formulation,Molecule 18,Branded,30mg,Capsule,30,25000,876457.5,806.3409,35.0583,"ABC Farmaceutica, Brazil",Yes,,76589,5178.59,28,16,t,8.74,
1385,325-TA-T68,PQ-82291,SO-98387,ASN-22023,Tanzania,PMO - US,From RDC,FOB,Air Charter,5/13/2016,5/23/2016,8/11/2016,8/21/2016,8/21/2016,ACT,Artemisinin-based,Abc Pharm Ltd,ACT product - Artemisinin-based formulation,Molecule 30,Branded,60mg,Oral Solution,1,500,18084.3,651.0348,36.1686,"Ranbaxy, Paonta Sahib, India",No,2.12,,102.64,80,90,f,,
1862,325-UG-T70,PQ-20573,SO-87769,ASN-13603,Uganda,Haiti Field Office,Direct Drop,FOB,Truck,6/24/2014,6/29/2014,7/28/2014,7/15/2014,7/18/2014,ANTM,Antimalarial,Bristol Myers Squibb,ANTM product - Antimalarial formulation,Molecule 37,Branded,120mg,Tablet,10,10000,24878,14.9268,2.4878,"Mylan H-12, India",No,58.51,2077.51,168.43,29,16,t,8.35,35.51
5772,325-ZA-T17,PQ-91882,SO-68796,ASN-32259,Zambia,South Africa Field Office,From RDC,EXW,Air,2/13/2016,2/29/2016,4/25/2016,5/5/2016,5/8/2016,ANTM,Antimalarial,Ranbaxy Fine Chemicals,ANTM product - Antimalarial formulation,Molecule 26,Branded,30mg,Tablet,30,10000,195978,352.7604,19.5978,"Ranbaxy, Paonta Sahib, India",Yes,27.34,26075.32,1148.81,56,66,f,13.31,953.74
1810,325-ZI-T42,PQ-51574,SO-38356,ASN-87260,Zimbabwe,PMO - US,From RDC,FCA,Ocean,1/11/2016,1/25/2016,3/21/2016,3/12/2016,3/15/2016,MRDT,Malaria test,Bristol Myers Squibb,MRDT product - Malaria test formulation,Molecule 2,Branded,150mg,Tablet,10,5000,74835,149.67,14.967,"Cipla, Goa, India",Yes,59.31,5888.66,398.26,56,47,t,7.87,99.29
5463,326-ET-T51,PQ-45351,SO-64948,ASN-65298,Ethiopia,PMO - US,From RDC,EXW,Air,5/23/2016,6/4/2016,6/28/2016,6/27/2016,7/1/2016,HRDT,HIV test,Ranbaxy Fine Chemicals,HRDT product - HIV test formulation,Molecule 6,Branded,60mg,Tablet,30,5000,53398.5,192.2346,10.6797,"Mylan H-12, India",Yes,46.31,8630.12,171.66,24,23,t,16.16,186.36
4256,326-GU-T19,PQ-54468,SO-33315,,Guyana,Haiti Field Office,From RDC,CIP,Ocean,12/18/2015,12/29/2015,1/21/2016,1/7/2016,1/10/2016,ARV,Adult,Aurobindo Pharma Limited,ARV product - Adult formulation,Molecule 3,Branded,60mg,Oral Solution,60,2000,80931.6,1011.645,40.4658,"ABC Farmaceutica, Brazil",Yes,39.03,13916.35,649.46,23,9,t,17.2,356.56
4985,326-GU-T59,PQ-26706,SO-87215,ASN-15214,Guyana,South Africa Field Office,Direct Drop,EXW,Air,4/27/2016,5/8/2016,6/4/2016,6/3/2016,6/4/2016,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 27,Branded,120mg,Capsule,30,10000,243114,97.2456,24.3114,"Mylan H-12, India",Yes,99.67,14885.64,1675.74,27,26,t,6.12,149.35
2081,326-MO-T69,PQ-86879,SO-31558,ASN-53434,Mozambique,PMO - US,From RDC,FCA,Ocean,5/29/2015,6/6/2015,8/14/2015,8/21/2015,8/23/2015,ARV,Pediatric,Novartis Pharma Ag,ARV product - Pediatric formulation,Molecule 11,Branded,90mg,Oral Solution,100,10000,311977,155.9885,31.1977,"Hetero Unit III, India",Yes,104.68,45859.38,1240.48,69,76,f,14.7,438.09
2503,326-MO-T98,PQ-31086,SO-62400,ASN-70739,Mozambique,Haiti Field Office,Direct Drop,FCA,Air,6/8/2014,6/18/2014,7/19/2014,7/19/2014,7/21/2014,ANTM,Antimalarial,Novartis Pharma Ag,ANTM product - Antimalarial formulation,Molecule 31,Branded,150mg,Capsule,60,500,9015.45,36.0618,18.0309,"Aurobindo Unit III, India",Yes,4.57,831.3,17.62,31,31,t,9.22,181.9
3504,326-NI-T17,PQ-57575,SO-76983,ASN-73904,Nigeria,South Africa Field Office,Direct Drop,EXW,Ocean,2/17/2015,3/2/2015,3/29/2015,4/5/2015,4/8/2015,HRDT,HIV test,Bristol Myers Squibb,HRDT product - HIV test formulation,Molecule 1,Generic,120mg,Tablet,30,1000,15549.7,373.1928,15.5497,"Ranbaxy, Paonta Sahib, India",Yes,17.62,1165.62,140.32,27,34,f,7.5,66.15
1266,326-NI-T68,PQ-50081,SO-42024,ASN-35472,Nigeria,PMO - US,From RDC,FCA,Air,7/19/2014,7/24/2014,9/19/2014,9/11/2014,9/11/2014,MRDT,Malaria test,Sun Pharma,MRDT product - Malaria test formulation,Molecule 39,Branded,60mg,Tablet,1,,750080,390.0416,30.0032,"Cipla, Goa, India",Yes,304.23,99035.76,6323.23,57,49,t,13.2,325.53
1286,326-RW-T55,PQ-50069,SO-57043,ASN-39526,Rwanda,PMO - US,Direct Drop,DDP,Air,7/31/2014,8/18/2014,10/17/2014,10/13/2014,10/14/2014,ACT,Artemisinin-based,Cipla Ltd,ACT product - Artemisinin-based formulation,Molecule 24,Branded,60mg,Capsule,10,25000,1089645,305.1006,43.5858,SCMS Global Warehouse,Yes,153.5,37852.85,10879.11,60,56,t,3.47,246.6
2396,326-RW-T84,PQ-65440,SO-13895,ASN-54888,Rwanda,Haiti Field Office,Direct Drop,EXW,Air Charter,5/12/2016,5/18/2016,6/7/2016,6/15/2016,6/19/2016,ACT,Artemisinin-based,Abc Pharm Ltd,ACT product - Artemisinin-based formulation,Molecule 23,Branded,150mg,Tablet,60,10000,364732,692.9908,36.4732,"ABC Farmaceutica, Brazil",Yes,81.48,42191.42,3254.59,20,28,f,11.57,517.81
4072,326-UG-T23,PQ-58572,SO-32763,ASN-68955,Uganda,Haiti Field Office,Direct Drop,EXW,Air,12/26/2014,12/31/2014,2/3/2015,2/3/2015,2/4/2015,ANTM,Antimalarial,Bristol Myers Squibb,ANTM product - Antimalarial formulation,Molecule 24,Generic,150mg,Test kit,100,5000,155624,342.3728,31.1248,SCMS Global Warehouse,No,9.3,19702.85,1382.36,34,34,t,12.66,2118.59
4128,326-UG-T60,PQ-77294,SO-25926,ASN-74360,Uganda,Haiti Field Office,From RDC,CIP,Air,8/13/2014,8/18/2014,10/18/2014,10/14/2014,10/14/2014,MRDT,Malaria test,Novartis Pharma Ag,MRDT product - Malaria test formulation,Molecule 15,Generic,30mg,Capsule,100,2000,36275.4,380.8917,18.1377,"ABC Farmaceutica, Brazil",Yes,11.08,3889.01,254.78,61,57,t,10.72,350.99
232,326-VI-T69,PQ-39113,SO-94363,ASN-89955,Vietnam,Haiti Field Office,Direct Drop,FOB,Ocean,1/27/2016,2/9/2016,4/20/2016,4/8/2016,4/9/2016,ARV,Adult,Scms Global,ARV product - Adult formulation,Molecule 12,Generic,60mg,Tablet,1,5000,39688,214.3152,7.9376,"Novartis, Suffern, US",Yes,77.79,2724.79,329.59,71,59,t,6.87,35.03
4002,326-ZA-T25,PQ-97240,SO-90286,,Zambia,Haiti Field Office,From RDC,FOB,Air,12/23/2015,1/7/2016,2/11/2016,2/4/2016,2/4/2016,ANTM,Antimalarial,Cipla Ltd,ANTM product - Antimalarial formulation,Molecule 36,Generic,150mg,Test kit,100,1000,3317.4,79.6176,3.3174,"Ranbaxy, Paonta Sahib, India",Yes,3.36,339.87,31.01,35,28,t,10.25,101.15
2986,327-CO-T22,PQ-46060,SO-41571,ASN-72562,Cote D'Ivoire,Haiti Field Office,Direct Drop,DDP,Ocean,7/11/2014,7/17/2014,8/17/2014,7/12/2014,7/14/2014,ACT,Artemisinin-based,Zenith Pharmaceuticals,ACT product - Artemisinin-based formulation,Molecule 13,Generic,90mg,Test kit,60,25000,618710,74.2452,24.7484,"ABC Farmaceutica, Brazil",Yes,423.13,,2283.96,31,-5,t,,
1860,327-CO-T28,PQ-45001,SO-89700,ASN-81164,Cote D'Ivoire,PMO - US,Direct Drop,CIP,Ocean,5/5/2014,5/14/2014,7/28/2014,7/21/2014,7/24/2014,MRDT,Malaria test,Scms Global,MRDT product - Malaria test formulation,Molecule 11,Branded,30mg,Oral Solution,100,2000,22558.4,135.3504,11.2792,SCMS Global Warehouse,No,,2781.9,76.56,75,68,t,12.33,
5706,327-KE-T18,PQ-78145,SO-32408,ASN-58850,Kenya,PMO - US,From RDC,DDP,Truck,12/17/2014,1/5/2015,3/29/2015,3/29/2015,3/30/2015,MRDT,Malaria test,Scms From Rdc,MRDT product - Malaria test formulation,Molecule 22,Branded,30mg,Test kit,30,2000,24094.2,337.3188,12.0471,"Cipla, Goa, India",No,10.43,1367.86,111.34,83,83,t,5.68,131.15
3832,327-KE-T37,PQ-70155,SO-50997,ASN-20052,Kenya,Haiti Field Office,Direct Drop,CIP,Air,6/13/2015,6/25/2015,8/3/2015,8/5/2015,8/7/2015,ACT,Artemisinin-based,Scms Global,ACT product - Artemisinin-based formulation,Molecule 35,Generic,90mg,Test kit,10,50000,1006245,382.3731,20.1249,"Novartis, Suffern, US",Yes,325.81,,2144.82,39,41,f,,
5611,327-TA-T79,PQ-57701,SO-23486,ASN-78748,Tanzania,South Africa Field Office,Direct Drop,DDP,Ocean,1/23/2014,1/29/2014,3/9/2014,3/13/2014,3/13/2014,HRDT,HIV test,Mylan Inc,HRDT product - HIV test formulation,Molecule 15,Generic,60mg,Capsule,60,500,608.8,10.9584,1.2176,SCMS Global Warehouse,Yes,5.74,,5.14,39,43,f,,
4820,327-ZI-T16,PQ-22276,SO-24306,ASN-41333,Zimbabwe,PMO - US,Direct Drop,CIP,Air Charter,2/27/2016,3/12/2016,4/2/2016,4/4/2016,4/8/2016,ANTM,Antimalarial,Ranbaxy Fine Chemicals,ANTM product - Antimalarial formulation,Molecule 2,Generic,120mg,Test kit,100,2000,78312.4,469.8744,39.1562,"Mylan H-12, India",No,9.23,,109.16,21,23,f,,
2117,327-ZI-T34,PQ-37277,SO-48471,ASN-65382,Zimbabwe,Haiti Field Office,From RDC,EXW,Air,4/21/2015,5/10/2015,6/22/2015,6/7/2015,6/10/2015,ARV,Adult,Bristol Myers Squibb,ARV product - Adult formulation,Molecule 12,Branded,120mg,Capsule,60,25000,674112.5,647.148,26.9645,"Novartis, Suffern, US",No,499.48,79052.79,1387.61,43,28,t,11.73,158.27
3354,328-CA-T41,PQ-77888,SO-58293,ASN-60560,Cameroon,Haiti Field Office,From RDC,FOB,Air,2/10/2015,2/17/2015,5/16/2015,5/22/2015,5/23/2015,ACT,Artemisinin-based,Bristol Myers Squibb,ACT product - Artemisinin-based formulation,Molecule 14,Branded,90mg,Capsule,10,10000,427398,983.0154,42.7398,"Cipla, Goa, India",Yes,175.55,33155.88,3081.02,88,94,f,7.76,188.87
1716,328-CO-T35,PQ-72402,SO-22745,ASN-20023,Cote D'Ivoire,PMO - US,From RDC,DDP,Air,8/6/2015,8/13/2015,10/22/2015,10/14/2015,10/15/2015,MRDT,Malaria test,Scms Global,MRDT product - Malaria test formulation,Molecule 16,Branded,150mg,Capsule,10,2000,47164.2,141.4926,23.5821,"Ranbaxy, Paonta Sahib, India",Yes,29.97,5171.32,233.9,70,62,t,10.96,172.55
3287,328-GU-T35,PQ-88831,SO-43173,ASN-61884,Guyana,Haiti Field Office,From RDC,FCA,Air,4/27/2015,5/14/2015,7/17/2015,7/11/2015,7/12/2015,HRDT,HIV test,Ranbaxy Fine Chemicals,HRDT product - HIV test formulation,Molecule 17,Branded,60mg,Tablet,60,5000,91237.5,200.7225,18.2475,"Hetero Unit III, India",No,35.79,4710.1,121.62,64,58,t,5.16,131.6
2650,328-RW-T62,PQ-39532,SO-53565,ASN-26538,Rwanda,PMO - US,Direct Drop,FOB,Air,1/5/2015,1/21/2015,3/17/2015,4/7/2015,4/8/2015,HRDT,HIV test,Sun Pharma,HRDT product - HIV test formulation,Molecule 17,Branded,120mg,Test kit,1,500,7724.8,30.8992,15.4496,"Cipla, Goa, India",Yes,1.24,236.93,41.9,55,76,f,3.07,191.07
3360,328-ZA-T53,PQ-48785,SO-34780,ASN-20727,Zambia,PMO - US,Direct Drop,EXW,Air,3/28/2016,4/10/2016,6/7/2016,6/4/2016,6/7/2016,HRDT,HIV test,Mylan Inc,HRDT product - HIV test formulation,Molecule 17,Branded,120mg,Tablet,10,10000,132997,252.6943,13.2997,"Aurobindo Unit III, India",Yes,75.11,14170.99,1198.55,58,55,t,10.66,188.67
3383,329-CA-T95,PQ-24506,SO-25104,ASN-36199,Cameroon,PMO - US,Direct Drop,FCA,Ocean,8/18/2015,8/24/2015,9/24/2015,9/23/2015,9/25/2015,ANTM,Antimalarial,Abc Pharm Ltd,ANTM product - Antimalarial formulation,Molecule 9,Generic,150mg,Tablet,30,5000,11769.5,21.1851,2.3539,"Mylan H-12, India",Yes,26.55,1708.33,34.5,31,30,t,14.51,64.34
1753,329-CO-T41,PQ-88353,SO-38742,ASN-42867,Cote D'Ivoire,PMO - US,Direct Drop,EXW,Air,5/22/2016,5/30/2016,8/15/2016,8/28/2016,8/30/2016,MRDT,Malaria test,Abc Pharm Ltd,MRDT product - Malaria test formulation,Molecule 19,Branded,30mg,Tablet,1,500,19879.55,914.4593,39.7591,"Ranbaxy, Paonta Sahib, India",Yes,3.15,,87.05,77,90,f,,
3263,329-KE-T98,PQ-69439,SO-71839,ASN-59146,Kenya,Haiti Field Office,Direct Drop,DDP,Air Charter,7/15/2014,7/20/2014,9/25/2014,10/2/2014,10/6/2014,HRDT,HIV test,Ranbaxy Fine Chemicals,HRDT product - HIV test formulation,Molecule 34,Generic,30mg,Test kit,60,500,22182.3,1020.3858,44.3646,SCMS Global Warehouse,Yes,9.85,2663.94,32.84,67,74,f,12.01,270.45
779,329-MO-T41,PQ-87093,SO-48648,ASN-84279,Mozambique,Haiti Field Office,From RDC,CIP,Air,6/3/2014,6/20/2014,7/29/2014,7/17/2014,7/17/2014,MRDT,Malaria test,Mylan Inc,MRDT product - Malaria test formulation,Molecule 21,Branded,120mg,Test kit,1,5000,99981.5,339.9371,19.9963,"Aurobindo Unit III, India",Yes,91.41,5475.45,847.75,39,27,t,5.48,59.9
2328,329-VI-T89,PQ-99790,SO-51234,ASN-74780,Vietnam,South Africa Field Office,Direct Drop,CIP,Ocean,12/1/2014,12/6/2014,1/16/2015,2/5/2015,2/7/2015,ACT,Artemisinin-based,Zenith Pharmaceuticals,ACT product - Artemisinin-based formulation,Molecule 10,Generic,120mg,Oral Solution,60,10000,59568,95.3088,5.9568,"Ranbaxy, Paonta Sahib, India",Yes,120.42,3084.64,393.7,41,61,f,5.18,25.62
627,330-CO-T50,PQ-55534,SO-89056,ASN-32805,Cote D'Ivoire,PMO - US,From RDC,FOB,Ocean,10/13/2014,10/30/2014,1/5/2015,1/8/2015,1/9/2015,MRDT,Malaria test,Scms From Rdc,MRDT product - Malaria test formulation,Molecule 10,Branded,90mg,Test kit,10,10000,88423,194.5306,8.8423,"Aurobindo Unit III, India",Yes,105.41,,255.21,67,70,f,,
2577,330-CO-T71,PQ-64651,SO-42527,ASN-53240,Cote D'Ivoire,South Africa Field Office,Direct Drop,DDP,Ocean,3/2/2016,3/17/2016,5/19/2016,5/31/2016,6/4/2016,MRDT,Malaria test,Bristol Myers Squibb,MRDT product - Malaria test formulation,Molecule 11,Branded,60mg,Test kit,100,10000,388115,1009.099,38.8115,"Cipla, Goa, India",Yes,169.62,44210.68,2757.39,63,75,f,11.39,260.65
1592,330-ET-T16,PQ-61244,SO-68859,ASN-27829,Ethiopia,Haiti Field Office,From RDC,EXW,Air,9/11/2014,9/16/2014,11/8/2014,,,HRDT,HIV test,Mylan Inc,HRDT product - HIV test formulation,Molecule 37,Generic,60mg,Capsule,10,25000,1087112.5,260.907,43.4845,"Aurobindo Unit III, India",No,173.62,112747.71,1170.08,53,,,10.37,649.39
4277,330-MO-T44,PQ-12807,SO-62922,ASN-52584,Mozambique,Haiti Field Office,From RDC,FOB,Air,11/19/2015,12/2/2015,1/31/2016,1/5/2016,1/6/2016,MRDT,Malaria test,Zenith Pharmaceuticals,MRDT product - Malaria test formulation,Molecule 30,Generic,120mg,Tablet,10,25000,322777.5,361.5108,12.9111,"ABC Farmaceutica, Brazil",No,456.89,21173.65,2697.24,60,34,t,6.56,46.34
3799,330-NI-T12,PQ-61901,SO-70441,ASN-15522,Nigeria,South Africa Field Office,From RDC,FOB,Air Charter,12/8/2014,12/27/2014,1/31/2015,2/11/2015,2/15/2015,ANTM,Antimalarial,Zenith Pharmaceuticals,ANTM product - Antimalarial formulation,Molecule 39,Generic,120mg,Capsule,100,50000,1685185,235.9259,33.7037,SCMS Global Warehouse,Yes,583.64,265290.24,10212.44,35,46,f,15.74,454.54
2676,330-RW-T68,PQ-35243,SO-53022,ASN-64787,Rwanda,Haiti Field Office,From RDC,CIP,Air,3/5/2014,3/19/2014,5/27/2014,6/2/2014,6/2/2014,MRDT,Malaria test,Sun Pharma,MRDT product - Malaria test formulation,Molecule 15,Branded,150mg,Capsule,60,10000,45039,130.6131,4.5039,"Hetero Unit III, India",Yes,116.33,4512.8,363.08,69,75,f,10.02,38.79
808,330-SO-T45,PQ-23339,SO-25834,ASN-39543,South Africa,Haiti Field Office,Direct Drop,FCA,Air,9/7/2015,9/16/2015,10/30/2015,11/10/2015,11/13/2015,HRDT,HIV test,Mylan Inc,HRDT product - HIV test formulation,Molecule 18,Branded,150mg,Capsule,100,5000,103466.5,413.866,20.6933,"ABC Farmaceutica, Brazil",Yes,97.3,9118,318.74,44,55,f,8.81,93.71
4832,330-TA-T16,PQ-21080,SO-47238,ASN-46588,Tanzania,South Africa Field Office,Direct Drop,CIP,Air,12/1/2015,12/6/2015,3/2/2016,2/29/2016,3/4/2016,MRDT,Malaria test,Zenith Pharmaceuticals,MRDT product - Malaria test formulation,Molecule 5,Generic,60mg,Oral Solution,60,10000,38770,19.385,3.877,"Mylan H-12, India",Yes,196.98,2038.86,233.48,87,85,t,5.26,10.35
2264,330-TA-T79,PQ-12562,SO-93951,ASN-72499,Tanzania,PMO - US,From RDC,EXW,Air,7/13/2015,7/20/2015,9/14/2015,9/5/2015,9/5/2015,ANTM,Antimalarial,Abc Pharm Ltd,ANTM product - Antimalarial formulation,Molecule 35,Generic,150mg,Test kit,100,500,848.3,8.483,1.6966,"Hetero Unit III, India",Yes,4.48,84.56,6.64,56,47,t,9.97,18.88
2436,330-UG-T63,PQ-65922,SO-13298,ASN-53980,Uganda,Haiti Field Office,From RDC,FOB,Ocean,4/18/2014,5/2/2014,7/14/2014,7/19/2014,7/19/2014,ACT,Artemisinin-based,Aurobindo Pharma Limited,ACT product - Artemisinin-based formulation,Molecule 6,Generic,120mg,Capsule,10,1000,11559,92.472,11.559,"Aurobindo Unit III, India",Yes,18.3,1005.45,114.56,73,78,f,8.7,54.94
4494,330-UG-T91,PQ-89223,SO-96192,,Uganda,Haiti Field Office,Direct Drop,DDP,Air,8/22/2015,9/2/2015,11/25/2015,,,MRDT,Malaria test,Zenith Pharmaceuticals,MRDT product - Malaria test formulation,Molecule 26,Branded,60mg,Oral Solution,30,2000,65738.2,230.0837,32.8691,"ABC Farmaceutica, Brazil",Yes,35.64,1973.94,381.53,84,,,3,55.39
3183,330-VI-T38,PQ-51952,SO-77760,ASN-22624,Vietnam,Haiti Field Office,From RDC,FOB,Air,11/15/2015,11/22/2015,12/27/2015,12/17/2015,12/18/2015,ACT,Artemisinin-based,Mylan Inc,ACT product - Artemisinin-based formulation,Molecule 26,Branded,30mg,Test kit,60,10000,448309,717.2944,44.8309,SCMS Global Warehouse,Yes,21.48,57842.25,1091.72,35,25,t,12.9,2692.84
5057,330-ZA-T28,PQ-21974,SO-32445,ASN-36939,Zambia,Haiti Field Office,Direct Drop,FCA,Ocean,5/16/2015,5/27/2015,8/21/2015,8/14/2015,8/15/2015,ARV,Pediatric,Aurobindo Pharma Limited,ARV product - Pediatric formulation,Molecule 26,Branded,90mg,Oral Solution,100,5000,75680,121.088,15.136,SCMS Global Warehouse,Yes,63.46,7661.3,428.23,86,79,t,10.12,120.73
5669,330-ZA-T60,PQ-38112,SO-23475,ASN-53411,Zambia,PMO - US,Direct Drop,DDP,Air,10/12/2014,10/31/2014,12/22/2014,12/21/2014,12/24/2014,ANTM,Antimalarial,Aurobindo Pharma Limited,ANTM product - Antimalarial formulation,Molecule 19,Generic,60mg,Oral Solution,1,2000,40346.6,40.3466,20.1733,"Aurobindo Unit III, India",No,26.39,5712.6,43.31,52,51,t,14.16,216.47
1699,331-GU-T57,PQ-59941,SO-36656,ASN-51311,Guyana,Haiti Field Office,From RDC,FCA,Air,5/16/2014,5/24/2014,7/17/2014,8/7/2014,8/11/2014,ARV,Adult,Scms From Rdc,ARV product - Adult formulation,Molecule 17,Generic,90mg,Capsule,100,2000,72522.2,652.6998,36.2611,"Novartis, Suffern, US",Yes,27.09,2956.19,330.63,54,75,f,4.08,109.12
3573,331-UG-T66,PQ-64638,SO-20278,ASN-32190,Uganda,Haiti Field Office,From RDC,DDP,Air,8/16/2014,8/28/2014,9/29/2014,9/16/2014,9/20/2014,ARV,Adult,Bristol Myers Squibb,ARV product - Adult formulation,Molecule 2,Generic,90mg,Tablet,1,25000,1006205,1167.1978,40.2482,"Cipla, Goa, India",Yes,,117274.32,7146.68,32,19,t,11.66,
4949,331-VI-T87,PQ-80905,SO-56968,ASN-62987,Vietnam,Haiti Field Office,Direct Drop,DDP,Air,3/10/2014,3/18/2014,5/9/2014,4/24/2014,4/27/2014,ACT,Artemisinin-based,Ranbaxy Fine Chemicals,ACT product - Artemisinin-based formulation,Molecule 21,Branded,150mg,Tablet,1,5000,118926.5,23.7853,23.7853,"Mylan H-12, India",Yes,,6804.42,378.11,52,37,t,5.72,
616,331-ZI-T83,PQ-16518,SO-48491,ASN-79838,Zimbabwe,South Africa Field Office,Direct Drop,FOB,Truck,4/24/2015,4/29/2015,6/4/2015,6/3/2015,6/5/2015,HRDT,HIV test,Bristol Myers Squibb,HRDT product - HIV test formulation,Molecule 29,Branded,90mg,Tablet,60,25000,203775,236.379,8.151,"Aurobindo Unit III, India",Yes,88.97,31712.12,1290.77,36,35,t,15.56,356.44
2102,332-CA-T29,PQ-42891,SO-59399,ASN-93049,Cameroon,South Africa Field Office,From RDC,FCA,Truck,3/23/2015,3/28/2015,4/27/2015,4/5/2015,4/6/2015,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 32,Branded,60mg,Tablet,30,10000,109374,207.8106,10.9374,"ABC Farmaceutica, Brazil",Yes,113.85,12258.44,803.19,30,8,t,11.21,107.67
1986,332-CO-T77,PQ-97890,SO-14297,ASN-32241,Cote D'Ivoire,PMO - US,From RDC,FCA,Air,6/27/2015,7/11/2015,7/31/2015,,,MRDT,Malaria test,Zenith Pharmaceuticals,MRDT product - Malaria test formulation,Molecule 31,Branded,120mg,Oral Solution,60,1000,42528.4,1233.3236,42.5284,"Hetero Unit III, India",No,11.3,,172.85,20,,,,
2113,332-GU-T80,PQ-41460,SO-51784,ASN-87384,Guyana,South Africa Field Office,Direct Drop,DDP,Air Charter,9/15/2015,10/2/2015,11/9/2015,11/1/2015,11/5/2015,ANTM,Antimalarial,Scms From Rdc,ANTM product - Antimalarial formulation,Molecule 33,Generic,60mg,Tablet,10,2000,28328.4,212.463,14.1642,"Hetero Unit III, India",No,25.88,3042.84,89.64,38,30,t,10.74,117.57
2355,332-TA-T11,PQ-59179,SO-65339,ASN-72250,Tanzania,Haiti Field Office,From RDC,DDP,Air,2/15/2015,2/24/2015,5/6/2015,5/26/2015,5/29/2015,ANTM,Antimalarial,Ranbaxy Fine Chemicals,ANTM product - Antimalarial formulation,Molecule 12,Generic,120mg,Oral Solution,30,5000,52859.5,42.2876,10.5719,SCMS Global Warehouse,No,81.62,2217.39,87.78,71,91,f,4.19,27.17
994,332-VI-T47,PQ-74549,SO-45306,ASN-93987,Vietnam,Haiti Field Office,Direct Drop,DDP,Air,12/28/2013,1/16/2014,3/18/2014,3/23/2014,3/23/2014,ARV,Adult,Cipla Ltd,ARV product - Adult formulation,Molecule 39,Generic,60mg,Capsule,1,5000,223485.5,1162.1246,44.6971,"Ranbaxy, Paonta Sahib, India",No,65.89,4544.14,2170.64,61,66,f,2.03,68.97
5767,332-ZA-T13,PQ-75500,SO-13266,ASN-88009,Zambia,Haiti Field Office,Direct Drop,DDP,Ocean,10/11/2015,10/21/2015,12/13/2015,12/5/2015,12/8/2015,ARV,Pediatric,Novartis Pharma Ag,ARV product - Pediatric formulation,Molecule 9,Generic,60mg,Oral Solution,30,2000,36498.4,328.4856,18.2492,"Novartis, Suffern, US",Yes,11.05,1519.64,213.56,53,45,t,4.16,137.52
3551,332-ZA-T84,PQ-75596,SO-67437,ASN-44955,Zambia,South Africa Field Office,Direct Drop,DDP,Air,5/6/2014,5/24/2014,6/17/2014,6/22/2014,6/24/2014,HRDT,HIV test,Aurobindo Pharma Limited,HRDT product - HIV test formulation,Molecule 4,Branded,30mg,Tablet,100,10000,15171,10.6197,1.5171,"Ranbaxy, Paonta Sahib, India",Yes,12.13,2700.27,140.68,24,29,f,17.8,222.61
